customer_id,sector_code,size_bucket,event_h12m,score_raw
C0001,CON,SME,0,0.0062525419932516115
C0002,IT,SME,0,0.000493956433635216
C0003,RET,SME,0,0.007821451441071534
C0004,CHE,SME,0,0.08360579480586997
C0005,MFG,SME,0,0.030824138033518442
C0006,MFG,Corp,0,0.00013489075211972458
C0007,MFG,SME,0,0.07954306819944104
C0008,LOG,SME,1,0.9605633546595296
C0009,CHE,SME,0,0.003905252087497843
C0010,RET,SME,0,0.005722180964481401
C0011,MFG,Corp,0,1.9317713710207323e-05
C0012,IT,SME,0,0.0011227806018441156
C0013,LOG,Corp,0,9.301696572001614e-06
C0014,TRA,SME,0,9.259236009420842e-05
C0015,TRA,SME,0,0.0002996651497473061
C0016,TRA,SME,0,0.00015478593332252566
C0017,CON,SME,0,0.00041775413676834383
C0018,ENG,SME,0,0.00028296652810496693
C0019,AGR,SME,0,0.0002700356388568463
C0020,TRA,SME,0,0.0005788096137394439
C0021,CHE,SME,0,0.0019380058100117554
C0022,MFG,SME,0,7.228827261507804e-05
C0023,TRA,Corp,0,0.00011315232121635575
C0024,CON,SME,0,0.0013096573101257444
C0025,AGR,SME,0,5.745940760429126e-05
C0026,LOG,SME,0,0.0003399771006174576
C0027,TRA,Corp,0,6.81145863944145e-05
C0028,ENG,Corp,0,8.264266249156988e-05
C0029,CHE,SME,0,3.8201405196073935e-05
C0030,MFG,SME,0,0.00014518228741000367
C0031,CHE,SME,0,0.0029032774371024208
C0032,MFG,Corp,0,0.0007023047412639788
C0033,MFG,Corp,0,0.0002013349721384848
C0034,IT,Corp,0,0.0004122760556113401
C0035,IT,SME,0,0.00021754512097206343
C0036,LOG,SME,0,0.005679293522353164
C0037,CON,Corp,0,4.435953584043787e-05
C0038,MFG,SME,0,7.599548597034909e-07
C0039,RET,SME,0,0.00014732758585458676
C0040,AGR,SME,0,0.001226587770945016
C0041,MFG,Corp,0,0.00016398022352773686
C0042,ENG,SME,0,0.0002953500201504413
C0043,MFG,SME,0,0.0007036969891272136
C0044,TEL,SME,0,5.6177577468839105e-05
C0045,TRA,SME,0,0.00010324083079471415
C0046,RET,SME,0,0.001121044106579439
C0047,CON,SME,0,0.2650379182366864
C0048,ENG,SME,0,0.0027795528952554516
C0049,ENG,SME,0,5.787160188725821e-05
C0050,TRA,Corp,0,7.862088981888871e-05
C0051,IT,Corp,0,0.0019666382540861624
C0052,RET,SME,1,0.9965366584564596
C0053,TEL,Corp,0,0.0003619939321558648
C0054,TEL,SME,0,0.0010867617483855266
C0055,CHE,SME,0,0.006583433790645136
C0056,TEL,SME,0,0.00010073120435460302
C0057,MFG,SME,0,9.333460025243041e-05
C0058,TRA,SME,0,0.01094072560609939
C0059,MFG,SME,0,0.0002131459405472367
C0060,CON,SME,0,0.3431598655630103
C0061,CON,SME,0,0.007605747325593909
C0062,TRA,SME,0,0.0009515293952976972
C0063,LOG,SME,0,0.0001224276914341704
C0064,CON,SME,0,0.00043570778444645074
C0065,TRA,SME,0,0.0073545531768109485
C0066,ENG,SME,0,0.0009323447181977334
C0067,MFG,SME,0,9.693933753362108e-05
C0068,LOG,SME,0,0.005717158124308795
C0069,MFG,SME,0,0.0006041885711844796
C0070,IT,Corp,0,6.17696484211067e-05
C0071,RET,Corp,0,0.05840294843412543
C0072,TRA,Corp,0,0.001986435426855856
C0073,MFG,SME,0,2.27018794459067e-06
C0074,LOG,SME,0,1.6686675084038014e-05
C0075,RET,Corp,0,0.0002462820575701914
C0076,RET,SME,0,0.004499258470962751
C0077,RET,SME,0,0.00018728743636405585
C0078,MFG,SME,0,0.0004174520467089759
C0079,CON,SME,0,5.826260143556227e-05
C0080,MFG,Corp,0,0.00048315480081850126
C0081,LOG,SME,0,0.0007493169956900411
C0082,CHE,SME,0,0.19959411450951037
C0083,CON,SME,0,0.006731653228448122
C0084,MFG,SME,0,5.0892267414024646e-05
C0085,CON,SME,0,0.0013006101169233898
C0086,CON,SME,0,0.00016448232268396825
C0087,RET,SME,0,0.00012648197184996035
C0088,CHE,SME,0,0.00040342644503861205
C0089,TEL,SME,0,0.0004206570299094517
C0090,AGR,SME,0,9.449814865740274e-05
C0091,MFG,SME,0,0.00017806747212917765
C0092,RET,SME,0,0.0007295788394439618
C0093,RET,SME,0,0.00032719424965654544
C0094,CHE,Corp,0,0.0004970177942001185
C0095,RET,Corp,0,0.00013384045944232195
C0096,ENG,SME,0,0.00012386786574017153
C0097,ENG,SME,0,0.0026450602151754017
C0098,AGR,SME,0,0.0015231102060438192
C0099,MFG,SME,0,1.8395420054560978e-05
C0100,MFG,SME,0,0.000743617769253827
C0101,MFG,Corp,0,0.0003409414034596201
C0102,CHE,SME,0,0.0015060259472790519
C0103,CON,Corp,0,0.0021418937417382903
C0104,ENG,SME,0,0.005387377209297277
C0105,TEL,SME,0,0.0020352172337112554
C0106,TRA,SME,0,0.005542653610494003
C0107,AGR,SME,0,0.003437550926179313
C0108,RET,SME,0,0.001131324939479161
C0109,TRA,SME,0,0.0007701828405629497
C0110,MFG,SME,0,0.0003040952706521376
C0111,TRA,SME,0,0.0003506122073081406
C0112,MFG,SME,0,9.131467323267708e-07
C0113,TEL,SME,0,0.0004046974117554179
C0114,LOG,SME,0,0.0012335055819839935
C0115,CHE,SME,0,2.9649007325409407e-05
C0116,LOG,SME,0,0.010358505729489702
C0117,LOG,SME,0,0.00858754549713266
C0118,TRA,SME,0,0.0034668336223622693
C0119,TEL,SME,0,2.3474654774251833e-05
C0120,ENG,SME,0,0.0005869197559760992
C0121,LOG,SME,0,3.3345073088972876e-05
C0122,TEL,SME,0,0.002134683831838325
C0123,CON,Corp,0,0.001030367681079521
C0124,MFG,SME,0,0.017674086511748496
C0125,TRA,SME,0,0.0002245953707247321
C0126,AGR,Corp,0,0.0030810955321667393
C0127,LOG,SME,0,0.000550558911017573
C0128,LOG,Corp,0,0.00431562438286877
C0129,MFG,SME,0,0.0003681744387933237
C0130,ENG,SME,0,0.001213378384674826
C0131,AGR,Corp,0,0.0009042688649019878
C0132,TRA,SME,0,0.0011778214446294508
C0133,MFG,SME,0,0.009045416629722908
C0134,CON,SME,0,3.614102041332888e-05
C0135,IT,SME,0,5.168539739705535e-06
C0136,CON,SME,0,0.00017371472332708854
C0137,ENG,SME,0,0.004612367219502099
C0138,RET,SME,0,0.0001032364324966643
C0139,CON,SME,0,9.045684691179058e-05
C0140,IT,SME,0,0.0003372992736444409
C0141,IT,SME,0,0.0002736531131325425
C0142,TRA,SME,0,0.00011713330991485134
C0143,ENG,Corp,0,0.0016362528961689675
C0144,CON,SME,0,0.0029667947758100148
C0145,TRA,SME,0,9.831819582392174e-05
C0146,MFG,SME,0,0.006038917054027768
C0147,CHE,SME,0,0.0062273329137528316
C0148,ENG,SME,0,3.6125723320398196e-05
C0149,MFG,Corp,0,0.00034079243556750006
C0150,TRA,SME,0,3.545955647956381e-05
C0151,TEL,Corp,0,9.854842881810076e-05
C0152,TRA,SME,0,0.0003769894890211595
C0153,MFG,SME,0,7.806924796777965e-05
C0154,ENG,SME,0,0.001320420858120338
C0155,IT,SME,0,0.0007397778093101297
C0156,TRA,SME,0,0.0005028936114820345
C0157,RET,SME,0,0.003404040239113918
C0158,RET,SME,0,0.000779636649201856
C0159,TRA,Corp,0,0.0005765011805795677
C0160,RET,Corp,0,0.0002843990833089438
C0161,CON,SME,0,0.010437012924475597
C0162,CHE,SME,0,0.0002479121712540356
C0163,CHE,SME,0,0.0013346968931905734
C0164,ENG,SME,0,0.0006053261408667265
C0165,MFG,Corp,0,0.00013485853362394138
C0166,LOG,SME,0,0.32644890046334535
C0167,CON,SME,0,0.0008112235503258807
C0168,TRA,SME,0,0.0001139593019467985
C0169,MFG,SME,0,0.0011711996910432393
C0170,CHE,SME,1,0.9780778836898761
C0171,RET,SME,0,0.00045144178044452505
C0172,MFG,SME,0,0.00014457331432785983
C0173,ENG,SME,0,0.001091948538714014
C0174,TRA,SME,0,0.0003866474710729093
C0175,CHE,SME,0,0.0006218952824254437
C0176,MFG,SME,0,6.317628225804227e-06
C0177,RET,SME,0,0.1681348711403892
C0178,CON,SME,0,0.000698075001116275
C0179,TEL,SME,0,0.008062839699562481
C0180,MFG,SME,0,0.0014683210584156819
C0181,CON,SME,0,3.652354921384347e-05
C0182,MFG,SME,0,1.0100909053313089e-05
C0183,TEL,SME,0,0.0008663770364600498
C0184,LOG,SME,0,0.11401440923752515
C0185,TRA,SME,0,0.009507952678942506
C0186,CHE,SME,0,0.0008017295252442412
C0187,LOG,Corp,0,0.01304085030329295
C0188,ENG,Corp,0,0.00035619701498855775
C0189,ENG,SME,0,2.100367384310799e-05
C0190,TRA,SME,0,2.4445819789454877e-05
C0191,MFG,SME,0,3.913737968829395e-05
C0192,TEL,SME,0,0.0020093321816725424
C0193,TEL,SME,0,0.05554365506934826
C0194,CHE,Corp,0,0.006786920877821441
C0195,CON,SME,0,0.000108935092302805
C0196,CON,Corp,0,0.002053339781624215
C0197,RET,SME,0,0.022445437204717745
C0198,TEL,SME,0,0.00012869721979952878
C0199,TEL,SME,0,0.00011904586102703753
C0200,RET,SME,0,0.0008562940468865023
C0201,CHE,SME,0,0.0006204017496227389
C0202,MFG,SME,0,6.976837631644e-05
C0203,MFG,SME,0,0.0003043925166114778
C0204,TEL,SME,0,0.0019024197000525286
C0205,CHE,SME,0,0.00016273707215568343
C0206,MFG,SME,0,5.364382459043979e-05
C0207,MFG,SME,0,0.00010293090014497194
C0208,RET,SME,0,0.02429073648289502
C0209,MFG,SME,0,0.0002264017468804765
C0210,MFG,SME,0,3.1609968668015415e-06
C0211,ENG,Corp,0,0.0007786834270742936
C0212,RET,SME,0,0.004546120861761512
C0213,CHE,SME,0,3.494614485770591e-05
C0214,TRA,SME,0,0.23718522151673477
C0215,RET,Corp,0,0.00013303923484050983
C0216,TRA,SME,0,0.002222805430615659
C0217,CON,SME,0,0.00030364655267676435
C0218,RET,SME,0,8.91614952734915e-05
C0219,CHE,SME,0,5.143437359873894e-05
C0220,LOG,SME,0,8.866367113088512e-05
C0221,CHE,SME,0,0.00047807236744010613
C0222,CHE,SME,0,0.00021535152427199742
C0223,MFG,Corp,0,0.004551838789401157
C0224,CON,SME,0,0.07485577197259623
C0225,TRA,SME,0,0.0008211766663724032
C0226,TRA,SME,0,0.0034244410688531643
C0227,IT,SME,0,3.78130773687841e-05
C0228,CON,SME,0,0.00032971242868380565
C0229,TEL,SME,0,0.0002082181773621777
C0230,CHE,SME,0,7.523200294820121e-05
C0231,LOG,SME,0,0.0033418282962699958
C0232,ENG,SME,0,0.00019576461938783114
