customer_id,sector_code,size_bucket,row_id,feat1,shap1,value1,feat2,shap2,value2,feat3,shap3,value3,feat4,shap4,value4,feat5,shap5,value5
C0001,CON,SME,0,dso__zs_sector_size,-0.6761073899090684,0.1542254787110149,ccc__zs_sector_size,-0.6143091000413949,0.5160437696929908,doh__zs_sector_size,-0.5719726658228291,0.5451184657524677,delta_ccc_qoq__zs_sector_size,0.4325277181636973,0.5077559207555123,%util_mean_60d__zs_sector_size,0.2120997260396528,0.4033681250091728
C0002,IT,SME,1,%util_p95_60d__zs_sector_size,1.105157899509207,0.9345389030031551,doh__zs_sector_size,1.004547147277577,-0.9930673544278712,dso__zs_sector_size,0.577640625975114,-0.34315122566975714,%util_mean_60d__zs_sector_size,0.5196929909302223,0.9191893947994165,covenant_breach_cnt_180d__zs_sector_size,-0.2553375482991695,0.0
C0003,RET,Corp,2,doh__zs_sector_size,-1.1297864615212652,0.7877452343882466,dso__zs_sector_size,0.9127625241646156,-0.6727761628562599,delta_dso_qoq__zs_sector_size,-0.5229953803984815,-0.4759723727386039,ccc__zs_sector_size,-0.5136781112247506,0.28494492073783273,debt_to_ebitda__zs_sector_size,-0.4877744593165326,0.8406375717845708
C0004,CHE,SME,3,dso__zs_sector_size,-1.072181826634731,0.7662978424278958,ccc__zs_sector_size,-0.7588491903588499,0.4658296708812177,%util_mean_60d__zs_sector_size,-0.3361375970987749,-0.21057755023060126,%util_p95_60d__zs_sector_size,-0.33405100499342943,-0.23439613977999754,covenant_breach_cnt_180d__zs_sector_size,-0.23308161359893434,0.0
C0005,MFG,Corp,4,dscr_ttm_proxy__zs_sector_size,2.6650472712658173,-1.0581196414767386,icr_ttm__zs_sector_size,0.9471166187885051,-1.1883868882852313,dso__zs_sector_size,-0.869309107360078,0.619541340919399,%util_mean_60d__zs_sector_size,0.37366655124602893,0.2601131913841575,covenant_breach_cnt_180d__zs_sector_size,-0.338260111217186,0.0
C0006,MFG,SME,5,dso__zs_sector_size,1.72575241827268,-0.784091780057516,dpd_max_180d__zs_sector_size,-0.9278271099681416,3.0,%util_p95_60d__zs_sector_size,0.891502489761198,0.9445630101261216,doh__zs_sector_size,-0.7640140375908625,0.8742362294107605,debt_to_ebitda__zs_sector_size,-0.44210038634624405,0.8980166928449748
C0007,MFG,SME,6,doh__zs_sector_size,-0.9256876995463786,0.8350329637745633,delta_dso_qoq__zs_sector_size,0.6918119361723482,0.0019739566188541895,dso__zs_sector_size,-0.5674131594241433,0.2981842812085644,dpo__zs_sector_size,0.2808590655340402,1.1734138420859304,delta_ccc_qoq__zs_sector_size,0.21861160281762537,-0.2777673894083606
C0008,LOG,Corp,7,doh__zs_sector_size,-0.9410737626003384,0.15968591587071318,icr_ttm__zs_sector_size,-0.845998992642068,1.652753449946581,dso__zs_sector_size,-0.5168831781200218,0.49184751031783547,%util_p95_60d__zs_sector_size,-0.33385847387275486,-0.33949469050087333,dscr_ttm_proxy__zs_sector_size,0.32348875671140176,1.701149030555263
C0009,CHE,SME,8,doh__zs_sector_size,1.049565033351451,-0.5659165742489525,dso__zs_sector_size,-0.5676716911551977,-0.13795464999897,dpd_max_180d__zs_sector_size,0.39271693645117556,-1.0,%util_mean_60d__zs_sector_size,0.3228036741036298,0.4708223498895535,covenant_breach_cnt_180d__zs_sector_size,-0.2729717663154209,0.0
C0010,RET,SME,9,dso__zs_sector_size,-0.9787609212691805,0.40001653302718976,ccc__zs_sector_size,-0.7406012203239433,0.1562754384076673,doh__zs_sector_size,0.6998367947507311,-0.5966026569887704,%util_p95_60d__zs_sector_size,-0.2944305255064334,-0.022124787560300285,%util_mean_60d__zs_sector_size,-0.2935555874735898,-0.03652680621294947
